execution_number,timestamp,duration_ms,error,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
1,2026-02-13T02:35:54.187111,9198.068623896688,,q01,1,,True,,True,,4,10235.874874982985,,,True,,4,20071.563167031854,4,8948.483832878992,1.0
2,2026-02-13T02:35:56.950408,738.3236682508141,,q03,3,,True,,True,,10,665.9645410254598,,,True,,10,1331.7104170564562,10,646.6977919917554,1.0
3,2026-02-13T02:35:59.653677,1410.7823760714382,,q04,4,,True,,True,,5,1232.1239169687033,,"Errors: duckdb=None, sqlserver=('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",False,"('42000', '[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]The ORDER BY clause is invalid in views, inline functions, derived tables, subqueries, and common table expressions, unless TOP, OFFSET or FOR XML is also specified. (1033) (SQLExecDirectW)')",0,0.0,5,1194.8592090047896,1.0
4,2026-02-13T02:36:02.425311,848.1936659663916,,q05,5,,True,,True,,5,655.1810409873724,,,True,,5,1236.2202499061823,5,725.7977079134434,1.0
5,2026-02-13T02:36:05.306358,745.5655422527343,,q06,6,,True,,True,,1,719.3459998816252,,,True,,1,1390.7335828989744,1,706.0258749406785,1.0
6,2026-02-13T02:36:08.256430,1070.186581928283,,q07,7,,True,,True,,4,632.3086670599878,,,True,,4,1225.5867500789464,4,625.551417004317,1.0
7,2026-02-13T02:36:11.013369,794.3580844439566,,q08,8,,True,,True,,2,677.0144999027252,,,True,,2,1263.1115838885307,2,642.297666054219,1.0
8,2026-02-13T02:36:49.869203,35930.054624564946,,q09,9,,True,,True,,175,930.9747500810772,,,True,,175,1960.1457498501984,175,967.4024998676032,1.0
9,2026-02-13T02:36:55.839665,1837.1483332011849,,q10,10,,True,,True,,20,1464.4702090881765,,,True,,20,2636.541042011231,20,1517.7038330584764,1.0
10,2026-02-13T02:36:59.722771,1002.5729157496244,,q12,12,,True,,True,,2,1013.9398330356926,,,True,,2,1843.587625073269,2,900.9595420211554,1.0
