execution_number,query_num,tpch_sf,umbra_dfc_1phase_time_ms,umbra_dfc_2phase_time_ms,umbra_logical_time_ms,umbra_time_ms
1,1,1.0,30.974291963502765,57.02337506227195,36.64891701191664,58.31525009125471
2,1,1.0,30.51404212601483,53.5752079449594,37.41850005462766,46.33395792916417
3,1,1.0,30.00970813445747,54.136957973241806,37.211667047813535,44.025874929502606
4,1,1.0,59.5535000320524,102.91229211725296,78.4883750602603,70.47654199413955
5,1,1.0,69.6530828718096,118.96470794454216,78.86712509207428,70.53083297796547
6,3,1.0,14.55966685898602,33.40029087848961,19.925707951188087,14.243707992136478
7,3,1.0,10.662166867405176,23.02700001746416,20.591665990650657,24.34095903299749
8,3,1.0,10.1006249897182,23.218041053041816,19.389791879802942,26.333499932661653
9,3,1.0,14.87895892933011,20.32599993981421,17.152166925370693,19.92912497371435
10,3,1.0,15.63408295623958,23.829624988138676,18.917083041742444,19.29904101416469
11,4,1.0,18.12370796687901,18.140082946047187,278.26629183255136,41.14266694523394
12,4,1.0,16.918708104640245,25.39195795543492,264.31970903649926,43.460582848638296
13,4,1.0,14.040332986041903,24.80258303694427,260.95908298157156,73.59979092143476
14,4,1.0,14.513167086988688,18.80137482658029,269.06783296726644,59.046167181804776
15,4,1.0,17.63024996034801,28.358208015561104,287.6016250811517,39.11383310332894
16,5,1.0,16.777999931946397,22.59429101832211,23.05937511846423,65.14729210175574
17,5,1.0,17.583166947588325,19.70424992032349,17.79474993236363,52.362916991114616
18,5,1.0,16.961416928097606,23.166707949712873,24.41254211589694,64.15437487885356
19,5,1.0,13.673792127519846,19.222917035222057,23.584125097841024,52.123833913356066
20,5,1.0,17.01587508432567,17.84125017002225,24.896542076021433,70.14049985446036
21,6,1.0,5.715416977182031,7.464083144441247,16.795125091448426,23.342583095654845
22,6,1.0,8.354332996532321,6.3895417843014,8.511708118021488,8.943082997575402
23,6,1.0,6.522167008370161,8.985291002318263,7.844541920349002,7.071542087942362
24,6,1.0,7.725749863311648,8.48945789039135,7.563207997009158,14.128291979432106
25,6,1.0,5.934917135164142,6.911874981597066,5.085709039121866,6.924791960045695
26,7,1.0,19.862708868458867,30.026082880795,45.71070917882025,58.69175004772842
27,7,1.0,13.392167165875437,28.061209013685584,33.42991601675749,61.17366603575647
28,7,1.0,13.759458204731343,34.34058278799057,36.24687483534217,54.37899986281991
29,7,1.0,12.08862499333918,38.7123750988394,33.29950012266636,76.74908288754523
30,7,1.0,19.94945900514722,39.79937499389053,39.055790985003114,53.87491709552705
31,8,1.0,34.330083057284355,49.11695793271065,57.374458061531186,47.61545895598829
32,8,1.0,49.64416706934571,49.345457926392555,128.09149990789592,93.04616693407296
33,8,1.0,64.57675015553832,61.91333383321762,61.41187506727874,280.03562497906387
34,8,1.0,47.07670793868601,48.20674983784557,54.76154200732708,75.41108294390142
35,8,1.0,41.53974982909858,59.43245883099735,74.08154103904963,69.56891599111259
36,9,1.0,78.18487496115267,318.35395796224475,77.22279196605086,291.76966613158584
37,9,1.0,53.56691707856953,399.89570807665586,143.3419578243047,418.64116699434817
38,9,1.0,78.2287078909576,506.2459579203278,83.22666585445404,300.1455420162529
39,9,1.0,44.14200014434755,389.2306250054389,99.48416682891548,795.9947090130299
40,9,1.0,53.61366691067815,371.6969999950379,89.49575014412403,291.52883403003216
41,10,1.0,21.0788338445127,49.81166613288224,33.17654202692211,45.0312087778002
42,10,1.0,25.294791907072067,47.81829216517508,30.07654193788767,36.92375007085502
43,10,1.0,27.060207910835743,48.63429092802107,25.747125037014484,43.150292010977864
44,10,1.0,20.864083897322416,52.25137481465936,40.31995800323784,32.61833405122161
45,10,1.0,22.095374995842576,120.83104206249118,36.5552909206599,87.30241702869534
46,12,1.0,11.314957868307827,18.036457942798737,16.322209034115076,47.06820799037814
47,12,1.0,11.737625114619732,31.18245815858245,29.121791943907738,49.34066697023809
48,12,1.0,16.60216716118157,21.25454181805253,17.454874934628606,40.876958053559065
49,12,1.0,17.90741691365838,18.42120918445289,18.95820815116167,31.9111249409616
50,12,1.0,10.58887504041195,23.02816696465015,15.634292038157582,19.162417156621817
51,14,1.0,14.851749874651432,9.197166888043284,8.805708028376102,17.34274998307228
52,14,1.0,7.855207892134786,22.69204193726182,11.102624936029317,54.75683300755918
53,14,1.0,22.538459161296487,12.280707946047189,13.71579198166728,30.58008383959532
54,14,1.0,15.867292182520032,14.58800002001226,8.334249956533313,18.692375160753727
55,14,1.0,10.430332971736789,12.212458066642284,7.568041095510125,117.37937503494322
56,18,1.0,102.80025005340576,80.23716695606709,49.24391605891287,173.91466698609293
57,18,1.0,87.43624994531274,64.1544999089092,65.20875007845461,212.62579201720655
58,18,1.0,108.85541699826716,68.39729100465775,55.51500013098121,165.09762522764504
59,18,1.0,98.10179099440576,71.68095791712403,55.48691586591303,147.04070799052715
60,18,1.0,78.78504111431539,154.1753748897463,65.06829196587205,120.17295905388892
61,19,1.0,15.534583013504744,16.831374960020185,17.112416913732886,24.52512481249869
62,19,1.0,8.666042005643249,11.132957879453896,12.002124916762114,15.662291087210178
63,19,1.0,8.083707885816693,12.142958119511604,12.751166941598058,18.481459002941847
64,19,1.0,12.426417088136075,15.273582888767123,16.829249914735556,31.72175004146993
65,19,1.0,9.711042046546936,10.08508400991559,14.588208170607686,13.572624884545805
