execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,policy_count,query_name,query_num,tpch_sf
1,2026-02-03T01:04:46.079170,75159.39295804128,,,True,,4,37347.74641599506,,4,37543.65412495099,,4,267.99241709522903,1000,q01,1,10.0
2,2026-02-03T01:04:56.802489,1694.5413330104202,,,True,,10,181.91416701301932,,10,1321.2461660150439,,10,191.38099998235703,1000,q03,3,10.0
3,2026-02-03T01:06:33.073937,2125.324542168528,,"Errors: dfc=Out of Memory Error: failed to offload data block of size 256.0 KiB (51.5 GiB/51.5 GiB used).
This limit was set by the 'max_temp_directory_size' setting.
By default, this setting utilizes the available disk space on the drive where the 'temp_directory' is located.
You can adjust this setting, by using (for example) PRAGMA max_temp_directory_size='10GiB', logical=None",False,"Out of Memory Error: failed to offload data block of size 256.0 KiB (51.5 GiB/51.5 GiB used).
This limit was set by the 'max_temp_directory_size' setting.
By default, this setting utilizes the available disk space on the drive where the 'temp_directory' is located.
You can adjust this setting, by using (for example) PRAGMA max_temp_directory_size='10GiB'",0,0.0,,0,1966.646500164643,,5,158.6780420038849,1000,q04,4,10.0
4,2026-02-03T01:06:47.443249,5433.969832956791,,,True,,5,3634.586709085852,,5,1503.1555409077555,,5,296.2275829631835,1000,q05,5,10.0
5,2026-02-03T01:07:03.835436,7443.230459000915,,,True,,1,6027.097417041659,,1,1339.51570908539,,1,76.61733287386596,1000,q06,6,10.0
6,2026-02-03T01:07:19.437911,6583.234834251925,,,True,,4,3915.844709146768,,4,2125.774000072852,,4,541.6161250323057,1000,q07,7,10.0
7,2026-02-03T01:07:33.392509,5125.664290972054,,,True,,2,3571.148500079289,,2,1360.0807499606162,,2,194.4350409321487,1000,q08,8,10.0
8,2026-02-03T01:07:55.979042,13624.301959061995,,,True,,175,7448.5648749396205,,175,5698.839750140905,,175,476.8973339814693,1000,q09,9,10.0
9,2026-02-03T01:08:07.277514,2248.2017499860376,,,True,,20,330.7892919983715,,20,1582.9147081822157,,20,334.49774980545044,1000,q10,10,10.0
10,2026-02-03T01:08:21.239490,5102.089999010786,,,True,,2,3558.516665827483,,2,1398.584125097841,,2,144.98920808546245,1000,q12,12,10.0
