execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,policy_count,query_name,query_num,tpch_sf
1,2026-02-03T15:22:00.030231,7922.315042233095,,,True,,1878.0539161525667,3123.868792084977,4,5001.922708237544,,1994.5357500109822,901.2506250292063,4,2895.7863750401884,,24.60595895536244,4,24.60595895536244,1000,q01,1,1.0
2,2026-02-03T15:22:04.015172,1046.3217513170093,,,True,,12.836124980822206,3.4380420111119747,10,16.27416699193418,,99.08441710285842,918.6337091960013,10,1017.7181262988597,,12.329458026215434,10,12.329458026215434,1000,q03,3,1.0
3,2026-02-03T15:22:23.878394,16993.167290929705,,,True,,10941.505457973108,5102.847542148083,0,16044.353000121191,,163.9682080131024,769.3913748953491,0,933.3595829084516,,15.454707900062203,5,15.454707900062203,1000,q04,4,1.0
4,2026-02-03T15:22:31.181058,4396.300208522007,,,True,,97.34174981713295,3306.9542499724776,5,3404.2959997896105,,95.00804194249213,870.5634588841349,5,965.571500826627,,26.432707905769348,5,26.432707905769348,1000,q05,5,1.0
5,2026-02-03T15:22:38.538209,4409.93962623179,,,True,,233.14620787277818,3221.655667060986,1,3454.8018749337643,,87.80729211866856,860.831500031054,1,948.6387921497226,,6.498959148302674,1,6.498959148302674,1000,q06,6,1.0
6,2026-02-03T15:22:45.811708,4355.467252200469,,,True,,99.58816692233086,3234.4963341020048,4,3334.0845010243356,,105.46295903623104,900.4486671183258,4,1005.9116261545569,,15.471125021576881,4,15.471125021576881,1000,q07,7,1.0
7,2026-02-03T15:22:53.192669,4397.672166815028,,,True,,73.20887502282858,3299.594209063798,2,3372.8030840866268,,87.65599993057549,917.0708328019828,2,1004.7268327325583,,20.142249995842576,2,20.142249995842576,1000,q08,8,1.0
8,2026-02-03T15:23:00.954217,4816.058375872672,,,True,,397.8721247985959,3294.2787499632686,175,3692.1508747618645,,220.5462921410799,864.8113338276744,175,1085.3576259687543,,38.54987514205277,175,38.54987514205277,1000,q09,9,1.0
9,2026-02-03T15:23:04.971477,1060.5901659000665,,,True,,32.33358287252486,4.285250091925263,20,36.61883296445012,,123.17770789377391,861.34620802477,20,984.5239159185439,,39.44741701707244,20,39.44741701707244,1000,q10,10,1.0
10,2026-02-03T15:23:12.292217,4364.964540814981,,,True,,92.04437490552664,3247.8030829224735,2,3339.847457828,,105.14999995939434,907.3298750445247,2,1012.479875003919,,12.637207983061671,2,12.637207983061671,1000,q12,12,1.0
11,2026-02-03T15:23:19.476971,4322.425251360983,,,True,,84.30658420547843,3236.4859159570187,1,3320.792500162497,,87.91575022041798,904.4079170562327,1,992.3236672766507,,9.309083921834826,1,9.309083921834826,1000,q14,14,1.0
12,2026-02-03T15:23:24.560770,2115.3889999259263,,,True,,45.28029100038111,4.294124897569418,57,49.57441589795053,,442.26391706615686,1583.6426669266075,57,2025.9065839927644,,39.908000035211444,57,39.908000035211444,1000,q18,18,1.0
13,2026-02-03T15:23:31.874163,4354.773124912754,,,True,,111.00179189816117,3229.8141249921173,1,3340.8159168902785,,85.93362499959767,908.6029168684036,1,994.5365418680012,,19.42066615447402,1,19.42066615447402,1000,q19,19,1.0
14,2026-02-03T15:23:42.832980,8080.893540754914,,,True,,1934.3413331080228,3216.6706658899784,4,5151.011998998001,,2004.4764168560505,900.9152499493212,4,2905.3916668053716,,24.489874951541424,4,24.489874951541424,1000,q01,1,1.0
15,2026-02-03T15:23:46.815443,1044.697833713144,,,True,,14.936708845198154,3.694457933306694,10,18.63116677850485,,95.25333298370242,916.2598750554025,10,1011.5132080391049,,14.553458895534277,10,14.553458895534277,1000,q03,3,1.0
16,2026-02-03T15:24:07.279304,17601.170541951433,,,True,,11578.825416974723,5095.59362498112,0,16674.419041955844,,130.96766616217792,781.0899168252945,0,912.0575829874724,,14.693917008116841,5,14.693917008116841,1000,q04,4,1.0
17,2026-02-03T15:24:14.855481,4645.011084154248,,,True,,121.71204201877117,3463.144041132182,5,3584.856083150953,,102.61512501165271,930.5469170212746,5,1033.1620420329273,,26.99295897036791,5,26.99295897036791,1000,q05,5,1.0
18,2026-02-03T15:24:22.140343,4416.6825821157545,,,True,,246.53600016608834,3156.6455410793424,1,3403.1815412454307,,86.93141583353281,920.0863330624998,1,1007.0177488960326,,6.483291974291205,1,6.483291974291205,1000,q06,6,1.0
19,2026-02-03T15:24:29.383601,4348.455458879471,,,True,,101.52837494388223,3230.2324171178043,4,3331.7607920616865,,97.25504205562174,904.7949998639524,4,1002.0500419195741,,14.644624898210168,4,14.644624898210168,1000,q07,7,1.0
20,2026-02-03T15:24:36.718106,4433.7383336387575,,,True,,70.23337506689131,3301.437708782032,2,3371.6710838489234,,89.693124871701,952.5198750197887,2,1042.2129998914897,,19.85424989834428,2,19.85424989834428,1000,q08,8,1.0
21,2026-02-03T15:24:44.358431,4807.992416666821,,,True,,409.2293749563396,3255.473457975313,175,3664.7028329316527,,241.53104098513722,864.1647088807076,175,1105.6957498658448,,37.593833869323134,175,37.593833869323134,1000,q09,9,1.0
22,2026-02-03T15:24:48.344772,1055.5253326892853,,,True,,32.037457916885614,3.9515409152954817,20,35.988998832181096,,120.72208407334983,861.6354169789702,20,982.35750105232,,37.17883280478418,20,37.17883280478418,1000,q10,10,1.0
23,2026-02-03T15:24:55.602101,4333.579750964418,,,True,,94.54475017264485,3192.9707089439034,2,3287.5154591165483,,128.11804190278053,906.4147497992963,2,1034.5327917020768,,11.531500145792961,2,11.531500145792961,1000,q12,12,1.0
24,2026-02-03T15:25:02.804095,4323.657750850543,,,True,,89.02049995958805,3232.559416908771,1,3321.579916868359,,89.17954191565514,904.1427499614656,1,993.3222918771207,,8.755542105063796,1,8.755542105063796,1000,q14,14,1.0
25,2026-02-03T15:25:07.881819,2230.9607500210404,,,True,,45.844166073948145,4.314209101721644,57,50.15837517566979,,455.1080418750644,1685.6792918406427,57,2140.787333715707,,40.01504112966359,57,40.01504112966359,1000,q18,18,1.0
26,2026-02-03T15:25:15.081847,4325.236001284793,,,True,,78.46745918504894,3236.714292084798,1,3315.181751269847,,91.50954196229577,899.4900831021369,1,990.9996250644326,,19.054624950513244,1,19.054624950513244,1000,q19,19,1.0
27,2026-02-03T15:25:26.091255,8089.136166730896,,,True,,1952.3175000213087,3123.5444580670446,4,5075.861958088353,,2094.4360417779535,893.0585000198334,4,2987.494541797787,,25.77966684475541,4,25.77966684475541,1000,q01,1,1.0
28,2026-02-03T15:25:30.024619,1037.1754583902657,,,True,,13.51175014860928,3.468333976343274,10,16.980084124952555,,96.81470808573067,911.2392500974238,10,1008.0539581831545,,12.141416082158685,10,12.141416082158685,1000,q03,3,1.0
29,2026-02-03T15:25:49.949654,16982.503168052062,,,True,,10975.387583952397,5095.702250022441,0,16071.089833974838,,130.5020828731358,766.244042199105,0,896.7461250722408,,14.667209004983306,5,14.667209004983306,1000,q04,4,1.0
30,2026-02-03T15:25:57.272425,4405.814791098237,,,True,,99.57487508654594,3275.3482919652015,5,3374.9231670517474,,99.7662500012666,905.9394579380751,5,1005.7057079393417,,25.185916107147932,5,25.185916107147932,1000,q05,5,1.0
31,2026-02-03T15:26:04.547628,4346.302709309384,,,True,,249.57162514328957,3105.778167024255,1,3355.3497921675444,,85.4314579628408,898.8666250370443,1,984.2980829998851,,6.65483414195478,1,6.65483414195478,1000,q06,6,1.0
32,2026-02-03T15:26:11.836623,4364.903333131224,,,True,,106.05129203759134,3238.6549171060324,4,3344.7062091436237,,99.90000003017485,903.5234579350799,4,1003.4234579652548,,16.773666022345424,4,16.773666022345424,1000,q07,7,1.0
33,2026-02-03T15:26:19.075933,4384.007083950564,,,True,,76.30387507379055,3276.7939169425517,2,3353.0977920163423,,94.2648749332875,915.906541980803,2,1010.1714169140905,,20.73787502013147,2,20.73787502013147,1000,q08,8,1.0
