execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_optimized_error,dfc_1phase_optimized_exec_time_ms,dfc_1phase_optimized_match,dfc_1phase_optimized_match_error,dfc_1phase_optimized_rewrite_time_ms,dfc_1phase_optimized_rows,dfc_1phase_optimized_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-28T02:34:20.464658,67.9878331720829,,,True,,34.47441617026925,,33.51341700181365,True,,0.0,4,33.51341700181365,0.0,4,34.47441617026925,1,q01,1,1,1.0
2,2026-02-28T02:34:20.530561,65.81645784899592,,,True,,32.599166966974735,,33.21729088202119,True,,0.0,4,33.21729088202119,0.0,4,32.599166966974735,1,q01,1,2,1.0
3,2026-02-28T02:34:20.597947,67.29466747492552,,,True,,33.903750125318766,,33.39091734960675,True,,0.0,4,33.39091734960675,0.0,4,33.903750125318766,1,q01,1,3,1.0
4,2026-02-28T02:34:20.664850,66.81720819324255,,,True,,33.245665952563286,,33.571542240679264,True,,0.0,4,33.571542240679264,0.0,4,33.245665952563286,1,q01,1,4,1.0
5,2026-02-28T02:34:20.732243,67.29441741481423,,,True,,33.38966704905033,,33.9047503657639,True,,0.0,4,33.9047503657639,0.0,4,33.38966704905033,1,q01,1,5,1.0
6,2026-02-28T02:34:20.867145,68.02720902487636,,,True,,32.93691715225577,,35.09029187262058,True,,0.0,4,35.09029187262058,0.0,4,32.93691715225577,10,q01,1,1,1.0
7,2026-02-28T02:34:20.936788,69.56670852378011,,,True,,35.13179160654545,,34.43491691723466,True,,0.0,4,34.43491691723466,0.0,4,35.13179160654545,10,q01,1,2,1.0
8,2026-02-28T02:34:21.005613,68.74874979257584,,,True,,34.4785419292748,,34.27020786330104,True,,0.0,4,34.27020786330104,0.0,4,34.4785419292748,10,q01,1,3,1.0
9,2026-02-28T02:34:21.072830,67.13858293369412,,,True,,33.93212519586086,,33.20645773783326,True,,0.0,4,33.20645773783326,0.0,4,33.93212519586086,10,q01,1,4,1.0
10,2026-02-28T02:34:21.138483,65.58274989947677,,,True,,32.67225017771125,,32.91049972176552,True,,0.0,4,32.91049972176552,0.0,4,32.67225017771125,10,q01,1,5,1.0
11,2026-02-28T02:34:21.271743,68.89270804822445,,,True,,34.67362513765693,,34.21908291056752,True,,0.0,4,34.21908291056752,0.0,4,34.67362513765693,100,q01,1,1,1.0
12,2026-02-28T02:34:21.336277,64.46333322674036,,,True,,31.465625390410423,,32.99770783632994,True,,0.0,4,32.99770783632994,0.0,4,31.465625390410423,100,q01,1,2,1.0
13,2026-02-28T02:34:21.404661,68.31316603347659,,,True,,34.56245781853795,,33.75070821493864,True,,0.0,4,33.75070821493864,0.0,4,34.56245781853795,100,q01,1,3,1.0
14,2026-02-28T02:34:21.471586,66.85945764183998,,,True,,34.01924995705485,,32.84020768478513,True,,0.0,4,32.84020768478513,0.0,4,34.01924995705485,100,q01,1,4,1.0
15,2026-02-28T02:34:21.537267,65.61512500047684,,,True,,33.317250199615955,,32.29787480086088,True,,0.0,4,32.29787480086088,0.0,4,33.317250199615955,100,q01,1,5,1.0
16,2026-02-28T02:34:21.694743,77.44858274236321,,,True,,45.1168748550117,,32.33170788735151,True,,0.0,4,32.33170788735151,0.0,4,45.1168748550117,1000,q01,1,1,1.0
17,2026-02-28T02:34:21.791372,96.56116692349315,,,True,,52.17141704633832,,44.38974987715483,True,,0.0,4,44.38974987715483,0.0,4,52.17141704633832,1000,q01,1,2,1.0
18,2026-02-28T02:34:21.870507,79.0591249242425,,,True,,45.16466706991196,,33.89445785433054,True,,0.0,4,33.89445785433054,0.0,4,45.16466706991196,1000,q01,1,3,1.0
19,2026-02-28T02:34:21.949252,78.66587489843369,,,True,,45.3749168664217,,33.290958032011986,True,,0.0,4,33.290958032011986,0.0,4,45.3749168664217,1000,q01,1,4,1.0
