execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_match,no_policy_rows,no_policy_time_ms,or_count,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,run_num,tpch_sf
1,2026-02-16T00:40:27.616362,1213.4314568247646,,,True,,42.265834053978324,2.968457993119955,4,45.23429204709828,,54.88045793026686,True,,3.8828749675303698,4,58.76333289779723,,136.17462501861155,True,,7.9546659253537655,4,144.12929094396532,,35.169915994629264,True,4,35.169915994629264,0,136.76670799031854,,930.1346249412745,793.367916950956,True,,5.514875054359436,4,930.1346249412745,930.1346249412745,q01,1,1,1.0
2,2026-02-16T00:40:28.906451,1242.3705838155001,,,True,,47.66829195432365,2.747375052422285,4,50.415667006745934,,58.137333020567894,True,,5.923958029597998,4,64.06129105016589,,153.50391692481935,True,,9.516250109300017,4,163.02016703411937,,40.30574997887015,True,4,40.30574997887015,0,154.02204194106162,,924.5677087455988,770.5456668045372,True,,5.91604202054441,4,924.5677087455988,924.5677087455988,q01,1,2,1.0
3,2026-02-16T00:40:30.118872,1166.9872908387333,,,True,,46.951582888141274,2.825541887432337,4,49.77712477557361,,55.5133749730885,True,,4.277957836166024,4,59.79133280925453,,147.612415952608,True,,9.374417131766677,4,156.98683308437467,,39.107416989281774,True,4,39.107416989281774,0,140.1514580938965,,861.3245831802487,721.1731250863522,True,,4.990458022803068,4,861.3245831802487,861.3245831802487,q01,1,3,1.0
4,2026-02-16T00:40:31.360440,1197.7871267590672,,,True,,42.87787480279803,3.174958983436227,4,46.05283378623426,,49.29295904003084,True,,25.557583896443248,4,74.85054293647408,,137.05783314071596,True,,8.299874840304255,4,145.3577079810202,,37.51020785421133,True,4,37.51020785421133,0,142.71741709671915,,894.0158342011273,751.2984171044081,True,,4.9785831943154335,4,894.0158342011273,894.0158342011273,q01,1,4,1.0
5,2026-02-16T00:40:33.097113,1691.7127899359912,,,True,,44.63812499307096,2.848082920536399,4,47.48620791360736,,355.7174170855433,True,,4.572291160002351,4,360.2897082455456,,166.5806658565998,True,,13.355999952182174,4,179.93666580878198,,36.736082984134555,True,4,36.736082984134555,0,325.67516691051424,,1067.2641249839216,741.5889580734074,True,,4.621042171493173,4,1067.2641249839216,1067.2641249839216,q01,1,5,1.0
6,2026-02-16T00:40:35.636901,1208.2467081490904,,,True,,46.829374972730875,2.9279161244630814,4,49.757291097193956,,56.90774996764958,True,,4.4142501428723335,4,61.32200011052191,,147.79924997128546,True,,10.292666964232922,4,158.09191693551838,,38.36587513796985,True,4,38.36587513796985,1,136.48899993859231,,900.7096248678863,764.220624929294,True,,5.1267920061945915,4,900.7096248678863,900.7096248678863,q01,1,1,1.0
7,2026-02-16T00:40:36.840911,1159.0579994954169,,,True,,46.43620899878442,2.9526250436902046,4,49.38883404247463,,54.56941598095,True,,4.18058387003839,4,58.74999985098839,,147.17433298937976,True,,9.920915821567178,4,157.09524881094694,,36.93537483923137,True,4,36.93537483923137,1,142.53162499517202,,856.8885419517756,714.3569169566035,True,,5.594125017523766,4,856.8885419517756,856.8885419517756,q01,1,2,1.0
8,2026-02-16T00:40:38.038250,1153.2278337981552,,,True,,46.23374994844198,2.810083096846938,4,49.04383304528892,,55.43387494981289,True,,4.397999960929155,4,59.831874910742044,,144.66112502850592,True,,10.178749915212393,4,154.8398749437183,,34.1887918766588,True,4,34.1887918766588,1,134.1853749472648,,855.3234590217471,721.1380840744823,True,,4.840958165004849,4,855.3234590217471,855.3234590217471,q01,1,3,1.0
9,2026-02-16T00:40:39.297785,1215.1595847681165,,,True,,44.46699982509017,2.649459056556225,4,47.116458881646395,,58.82399994879961,True,,4.296541912481189,4,63.1205418612808,,141.10487489961088,True,,8.684916887432337,4,149.7897917870432,,35.31441604718566,True,4,35.31441604718566,1,146.47016720846295,,919.8183761909604,773.3482089824975,True,,5.4557910189032555,4,919.8183761909604,919.8183761909604,q01,1,4,1.0
10,2026-02-16T00:40:40.515646,1171.4427107945085,,,True,,47.641583951190114,2.945292042568326,4,50.58687599375844,,58.16808296367526,True,,5.669208941981196,4,63.83729190565646,,144.4818750023842,True,,10.430458933115005,4,154.9123339354992,,37.462209118530154,True,4,37.462209118530154,1,151.30787482485175,,864.6439998410642,713.3361250162125,True,,5.502999993041158,4,864.6439998410642,864.6439998410642,q01,1,5,1.0
