execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_optimized_error,dfc_1phase_optimized_match,dfc_1phase_optimized_match_error,dfc_1phase_optimized_rows,dfc_1phase_optimized_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,no_policy_error,no_policy_match,no_policy_match_error,no_policy_rows,no_policy_time_ms,run_num,self_join_count,tpch_sf
1,2026-02-28T14:11:49.747878,3.389208111912012,,,True,,,True,,4,1.0900003835558891,4,1.164957880973816,,True,,4,1.134249847382307,1,1,0.001
2,2026-02-28T14:11:49.751231,3.309625666588545,,,True,,,True,,4,1.06766726821661,4,1.1010831221938133,,True,,4,1.1408752761781216,2,1,0.001
3,2026-02-28T14:11:49.754550,3.28612606972456,,,True,,,True,,4,1.1617918498814106,4,1.0845842771232128,,True,,4,1.0397499427199364,3,1,0.001
4,2026-02-28T14:11:49.757741,3.1618745997548103,,,True,,,True,,4,1.1045420542359352,4,1.0660416446626186,,True,,4,0.9912909008562565,4,1,0.001
5,2026-02-28T14:11:49.760990,3.2201246358454227,,,True,,,True,,4,1.0844999924302101,4,1.1549158953130245,,True,,4,0.9807087481021881,5,1,0.001
6,2026-02-28T14:11:49.771055,5.102125927805901,,,True,,,True,,4,1.6377088613808155,4,1.7815828323364258,,True,,4,1.6828342340886593,1,2,0.001
7,2026-02-28T14:11:49.775838,4.747791215777397,,,True,,,True,,4,1.6471249982714653,4,1.662916038185358,,True,,4,1.4377501793205738,2,2,0.001
8,2026-02-28T14:11:49.780908,5.032125394791365,,,True,,,True,,4,1.6802502796053886,4,1.8345420248806477,,True,,4,1.5173330903053284,3,2,0.001
9,2026-02-28T14:11:49.786250,5.299333482980728,,,True,,,True,,4,1.7467080615460873,4,1.8981662578880787,,True,,4,1.6544591635465622,4,2,0.001
10,2026-02-28T14:11:49.791867,5.561831872910261,,,True,,,True,,4,1.857374794781208,4,1.9641662947833538,,True,,4,1.7402907833456993,5,2,0.001
11,2026-02-28T14:11:49.813939,10.291042737662792,,,True,,,True,,4,3.6314590834081173,4,3.5127089358866215,,True,,4,3.1468747183680534,1,4,0.001
12,2026-02-28T14:11:49.823734,9.71937458962202,,,True,,,True,,4,3.529791720211506,4,3.379332832992077,,True,,4,2.810250036418438,2,4,0.001
13,2026-02-28T14:11:49.833634,9.834831580519676,,,True,,,True,,4,3.147707786411047,4,3.6178329028189182,,True,,4,3.069290891289711,3,4,0.001
14,2026-02-28T14:11:49.842840,9.154208470135927,,,True,,,True,,4,3.1391666270792484,4,3.329250030219555,,True,,4,2.685791812837124,4,4,0.001
15,2026-02-28T14:11:49.851990,9.105501230806112,,,True,,,True,,4,3.096375148743391,4,3.2910839654505253,,True,,4,2.718042116612196,5,4,0.001
16,2026-02-28T14:11:50.004211,77.08112569525838,,,True,,,True,,4,25.824500247836113,4,27.237209025770426,,True,,4,24.01941642165184,1,8,0.001
17,2026-02-28T14:11:50.079427,75.15158550813794,,,True,,,True,,4,25.027959141880274,4,25.736792013049126,,True,,4,24.386834353208542,2,8,0.001
18,2026-02-28T14:11:50.154558,75.0718335621059,,,True,,,True,,4,24.965041782706976,4,26.196375023573637,,True,,4,23.91041675582528,3,8,0.001
19,2026-02-28T14:11:50.229581,74.96212469413877,,,True,,,True,,4,25.14141658321023,4,25.721166282892227,,True,,4,24.09954182803631,4,8,0.001
20,2026-02-28T14:11:50.304561,74.91458393633366,,,True,,,True,,4,24.973124731332064,4,25.919334031641483,,True,,4,24.02212517336011,5,8,0.001
21,2026-02-28T14:11:50.374818,35.336666740477085,,,True,,,True,,4,11.52641698718071,4,14.102417044341564,,True,,4,9.707832708954811,1,16,0.001
22,2026-02-28T14:11:50.410050,35.17366712912917,,,True,,,True,,4,11.520999949425459,4,14.210834167897701,,True,,4,9.441833011806011,2,16,0.001
23,2026-02-28T14:11:50.445324,35.21779179573059,,,True,,,True,,4,11.530582793056965,4,14.152292162179947,,True,,4,9.534916840493679,3,16,0.001
24,2026-02-28T14:11:50.480747,35.365082789212465,,,True,,,True,,4,11.771332938224077,4,13.958499766886234,,True,,4,9.635250084102154,4,16,0.001
25,2026-02-28T14:11:50.523601,42.79012605547905,,,True,,,True,,4,11.973625048995018,4,15.214791987091303,,True,,4,15.601709019392729,5,16,0.001
26,2026-02-28T14:11:50.840092,157.68016641959548,,,True,,,True,,4,49.49316708371043,4,62.167291063815355,,True,,4,46.01970827206969,1,32,0.001
27,2026-02-28T14:11:50.998819,158.66024931892753,,,True,,,True,,4,50.374416168779135,4,61.968750320374966,,True,,4,46.317082829773426,2,32,0.001
28,2026-02-28T14:11:51.157836,158.94883312284946,,,True,,,True,,4,50.13399990275502,4,62.02404201030731,,True,,4,46.79079120978713,3,32,0.001
29,2026-02-28T14:11:51.317257,159.35787511989474,,,True,,,True,,4,51.57670797780156,4,61.350458301603794,,True,,4,46.43070884048939,4,32,0.001
30,2026-02-28T14:11:51.476470,159.15183257311583,,,True,,,True,,4,51.22583266347647,4,61.93329067900777,,True,,4,45.99270923063159,5,32,0.001
31,2026-02-28T14:11:54.813873,1652.182957623154,,,True,,,True,,4,532.7074998058379,4,609.7950418479741,,True,,4,509.680415969342,1,64,0.001
32,2026-02-28T14:11:56.469520,1655.5786253884435,,,True,,,True,,4,529.6923751011491,4,607.6950840651989,,True,,4,518.1911662220955,2,64,0.001
33,2026-02-28T14:11:58.130797,1661.2077909521759,,,True,,,True,,4,529.4113750569522,4,605.0595827400684,,True,,4,526.7368331551552,3,64,0.001
