execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_optimized_error,dfc_1phase_optimized_match,dfc_1phase_optimized_match_error,dfc_1phase_optimized_rows,dfc_1phase_optimized_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,no_policy_error,no_policy_match,no_policy_match_error,no_policy_rows,no_policy_time_ms,run_num,self_join_count,tpch_sf
1,2026-02-28T10:07:56.628252,466.1792078986764,,,True,,,True,,4,147.3849997855723,4,184.09791681915522,,True,,4,134.6962912939489,1,1,1.0
2,2026-02-28T10:07:57.057072,428.7140411324799,,,True,,,True,,4,145.89550020173192,4,146.27483300864697,,True,,4,136.54370792210102,2,1,1.0
3,2026-02-28T10:07:57.494890,437.7215006388724,,,True,,,True,,4,149.88720836117864,4,149.34737514704466,,True,,4,138.4869171306491,3,1,1.0
4,2026-02-28T10:07:57.930757,435.7815417461097,,,True,,,True,,4,146.0835412144661,4,153.1775421462953,,True,,4,136.52045838534832,4,1,1.0
5,2026-02-28T10:07:58.363534,432.69212543964386,,,True,,,True,,4,145.0615841895342,4,150.11920826509595,,True,,4,137.51133298501372,5,1,1.0
6,2026-02-28T10:08:05.447673,3461.848540697247,,,True,,,True,,4,1238.6185000650585,4,1196.63658272475,,True,,4,1026.5934579074383,1,10,1.0
7,2026-02-28T10:08:09.483348,4035.3977507911623,,,True,,,True,,4,1250.3720419481397,4,1748.9330838434398,,True,,4,1036.0926249995828,2,10,1.0
8,2026-02-28T10:08:13.115792,3632.099791429937,,,True,,,True,,4,1214.8030833341181,4,1297.0955832861364,,True,,4,1120.2011248096824,3,10,1.0
9,2026-02-28T10:08:16.656129,3540.2538757771254,,,True,,,True,,4,1236.4163747988641,4,1244.0735423006117,,True,,4,1059.7639586776495,4,10,1.0
10,2026-02-28T10:08:20.183626,3527.4206274189055,,,True,,,True,,4,1232.6459591276944,4,1228.1938339583576,,True,,4,1066.5808343328536,5,10,1.0
11,2026-02-28T10:10:27.824052,66042.95929288492,,,True,,,True,,4,25327.120459172875,4,24853.09787467122,,True,,4,15862.74095904082,1,100,1.0
12,2026-02-28T10:11:33.037624,65229.67908345163,,,True,,,True,,4,24465.18858289346,4,24315.877916757017,,True,,4,16448.61258380115,2,100,1.0
13,2026-02-28T10:12:23.944298,50904.071958735585,,,True,,,True,,4,18702.473666984588,4,19240.346666891128,,True,,4,12961.25162485987,3,100,1.0
14,2026-02-28T10:13:22.199071,58249.32337505743,,,True,,,True,,4,20432.256707921624,4,25126.48008391261,,True,,4,12690.586583223194,4,100,1.0
15,2026-02-28T10:14:13.476349,51272.284916136414,,,True,,,True,,4,20752.529417164624,4,18403.125666081905,,True,,4,12116.629832889885,5,100,1.0
16,2026-02-28T10:14:16.515898,1310.432625003159,,"Errors: no_policy=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase_optimized=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",False,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.","Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,0,0.0,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,1,1000,1.0
17,2026-02-28T10:14:17.836821,1320.907167159021,,"Errors: no_policy=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase_optimized=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",False,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.","Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,0,0.0,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,2,1000,1.0
18,2026-02-28T10:14:19.150229,1313.3915001526475,,"Errors: no_policy=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase_optimized=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",False,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.","Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,0,0.0,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,3,1000,1.0
19,2026-02-28T10:14:20.466090,1315.8456250093877,,"Errors: no_policy=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase_optimized=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",False,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.","Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,0,0.0,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,4,1000,1.0
20,2026-02-28T10:14:21.778811,1312.7035000361502,,"Errors: no_policy=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth., dfc_1phase_optimized=Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",False,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.","Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,0,0.0,"Parser Error: Max expression depth limit of 1000 exceeded. Use ""SET max_expression_depth TO x"" to increase the maximum expression depth.",,,0,0.0,5,1000,1.0
