execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-02T02:41:56.426169,69.02204197831452,,,True,,1,24.383042007684708,,1,44.63899997062981,1,q19,19,1,1.0
2,2026-02-02T02:41:56.504289,67.65500083565712,,,True,,1,24.089458864182234,,1,43.565541971474886,1,q19,19,2,1.0
3,2026-02-02T02:41:56.582239,68.00150009803474,,,True,,1,24.089416954666376,,1,43.91208314336836,1,q19,19,3,1.0
4,2026-02-02T02:41:56.658831,66.3802910130471,,,True,,1,23.35275011137128,,1,43.02754090167582,1,q19,19,4,1.0
5,2026-02-02T02:41:56.735486,66.88029086217284,,,True,,1,23.792457999661565,,1,43.08783286251128,1,q19,19,5,1.0
6,2026-02-02T02:41:56.905781,78.02704209461808,,,True,,1,27.20708306878805,,1,50.81995902583003,10,q19,19,1,1.0
7,2026-02-02T02:41:57.074117,78.56204197742045,,,True,,1,26.944749988615513,,1,51.617291988804936,10,q19,19,2,1.0
8,2026-02-02T02:41:57.244047,78.76829104498029,,,True,,1,27.065458009019494,,1,51.70283303596079,10,q19,19,3,1.0
9,2026-02-02T02:41:57.413675,79.05550114810467,,,True,,1,27.699709171429276,,1,51.35579197667539,10,q19,19,4,1.0
10,2026-02-02T02:41:57.580642,77.41345791146159,,,True,,1,26.813665870577097,,1,50.599792040884495,10,q19,19,5,1.0
11,2026-02-02T02:41:58.713033,247.33229097910225,,,True,,1,75.96062519587576,,1,171.3716657832265,100,q19,19,1,1.0
12,2026-02-02T02:41:59.836205,210.68220818415284,,,True,,1,75.7569579873234,,1,134.92525019682944,100,q19,19,2,1.0
13,2026-02-02T02:42:00.914283,196.88200112432241,,,True,,1,76.73666719347239,,1,120.14533393085003,100,q19,19,3,1.0
14,2026-02-02T02:42:02.010005,193.9439990092069,,,True,,1,75.70754108019173,,1,118.23645792901516,100,q19,19,4,1.0
15,2026-02-02T02:42:03.104933,195.87174896150827,,,True,,1,76.2090829666704,,1,119.66266599483788,100,q19,19,5,1.0
16,2026-02-02T02:42:16.076925,4094.8457499034703,,,True,,1,3121.9083750620484,,1,972.9373748414218,1000,q19,19,1,1.0
17,2026-02-02T02:42:29.235499,4210.200875066221,,,True,,1,3220.6507918890566,,1,989.5500831771642,1000,q19,19,2,1.0
18,2026-02-02T02:42:42.461175,4272.019041003659,,,True,,1,3248.6099160742015,,1,1023.4091249294579,1000,q19,19,3,1.0
19,2026-02-02T02:42:55.585006,4294.816876063123,,,True,,1,3297.3620840348303,,1,997.454792028293,1000,q19,19,4,1.0
20,2026-02-02T02:43:08.856162,4331.000041915104,,,True,,1,3322.9848749469966,,1,1008.0151669681072,1000,q19,19,5,1.0
