execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
1,2026-02-15T19:02:45.557745,898.1297924183309,,,True,,30.9089170768857,2.053250093013048,4,32.96216716989875,,40.10004200972617,True,,2.928042085841298,4,43.028084095567465,,94.40670814365149,3.8565420545637608,4,98.26325019821525,,34.131792141124606,4,34.131792141124606,151.76854096353054,,537.9759578499943,4.646832821890712,4,689.7444988135248,689.7444988135248,q01,1,1.0
2,2026-02-15T19:02:46.919888,1224.8047075700015,,,True,,95.12745798565447,1.6701249405741692,4,96.79758292622864,,42.859582928940654,True,,2.4979158770292997,4,45.35749880596995,,149.31737491860986,4.978999961167574,4,154.29637487977743,,31.53837495483458,4,31.53837495483458,213.74991699121892,,683.064959011972,4.18820814229548,4,896.8148760031909,896.8148760031909,q01,1,1.0
3,2026-02-15T19:02:48.003127,1050.8117103017867,,,True,,52.19566682353616,2.4430002085864544,4,54.63866703212261,,40.140666998922825,True,,2.6066249702125788,4,42.747291969135404,,97.002417081967,3.9027081802487373,4,100.90512526221573,,88.15345889888704,4,88.15345889888704,192.38424999639392,,571.982917143032,3.5298748407512903,4,764.3671671394259,764.3671671394259,q01,1,1.0
4,2026-02-15T19:02:49.144188,1114.2187912482768,,,True,,31.93425014615059,2.0894159097224474,4,34.023666055873036,,39.75604218430817,True,,2.582291141152382,4,42.33833332546055,,102.68949996680021,27.606374816969037,4,130.29587478376925,,28.995624976232648,4,28.995624976232648,163.56675000861287,,714.9985420983285,3.721291897818446,4,878.5652921069413,878.5652921069413,q01,1,1.0
5,2026-02-15T19:02:50.428099,1255.3634571377188,,,True,,107.09504107944667,2.667624969035387,4,109.76266604848206,,62.02012510038912,True,,2.6922919787466526,4,64.71241707913578,,144.19133285991848,4.4428331311792135,4,148.6341659910977,,108.04779105819762,4,108.04779105819762,141.29587495699525,,682.9105420038104,3.726124996319413,4,824.2064169608057,824.2064169608057,q01,1,1.0
6,2026-02-15T19:02:50.775270,99.23070855438709,,,True,,13.203625101596117,3.7619161885231733,10,16.96554129011929,,24.395500076934695,True,,2.757958136498928,10,27.153458213433623,,16.454749973490834,3.871791996061802,10,20.326541969552636,,12.53750012256205,10,12.53750012256205,18.21824978105724,,4.029417177662253,3.0494160018861294,10,22.247666958719492,22.247666958719492,q03,3,1.0
7,2026-02-15T19:02:50.905578,106.0824990272522,,,True,,16.317208064720035,3.842208068817854,10,20.15941613353789,,27.215833077207208,True,,2.641791943460703,10,29.85762502066791,,16.429041977971792,3.8682499434798956,10,20.297291921451688,,13.456166023388505,10,13.456166023388505,17.411249922588468,,4.900750005617738,2.823249902576208,10,22.311999928206205,22.311999928206205,q03,3,1.0
8,2026-02-15T19:02:51.030867,99.74879398941994,,,True,,13.699790928512812,3.3723749220371246,10,17.072165850549936,,21.17716707289219,True,,2.6264588814228773,10,23.803625954315066,,16.620917012915015,4.355167038738728,10,20.976084051653743,,13.677167007699609,10,13.677167007699609,19.98879201710224,,4.230959108099341,2.919082995504141,10,24.219751125201583,24.219751125201583,q03,3,1.0
9,2026-02-15T19:02:51.155569,99.85016589052975,,,True,,14.223666163161397,3.2416668254882097,10,17.465332988649607,,23.07433309033513,True,,2.636458957567811,10,25.71079204790294,,17.755792010575533,3.8785829674452543,10,21.634374978020787,,13.198999920859933,10,13.198999920859933,16.84979093261063,,4.990875022485852,2.933792071416974,10,21.840665955096483,21.840665955096483,q03,3,1.0
10,2026-02-15T19:02:51.276912,95.88004206307232,,,True,,14.119749888777733,3.4687500447034836,10,17.588499933481216,,21.962374914437532,True,,3.3054999075829983,10,25.26787482202053,,15.1010830886662,3.8795832078903913,10,18.980666296556592,,12.820167001336813,10,12.820167001336813,17.445791978389025,,3.777042031288147,2.939084079116583,10,21.22283400967717,21.22283400967717,q03,3,1.0
