execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
1,2026-02-14T13:12:26.711437,897.908709011972,,,True,,30.518125044181943,1.7741250339895487,4,32.29225007817149,,100.65174987539649,4.1888749692589045,4,104.8406248446554,,31.087416922673583,4,31.087416922673583,111.34620918892324,,618.3422079775482,4.469749983400106,4,729.6884171664715,729.6884171664715,q01,1,1.0
2,2026-02-14T13:12:26.834754,95.98891693167388,,,True,,16.24029199592769,4.370959009975195,10,20.611251005902886,,20.71008295752108,4.513958003371954,10,25.224040960893035,,21.14024991169572,10,21.14024991169572,24.642125004902482,,4.371250048279762,2.8982919175177813,10,29.013375053182244,29.013375053182244,q03,3,1.0
3,2026-02-14T13:12:26.998203,160.02412419766188,,,True,,40.24500004015863,3.087666118517518,5,43.33266615867615,,95.7616250962019,2.641625003889203,5,98.4032501000911,,18.28820793889463,5,18.28820793889463,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
4,2026-02-14T13:12:27.157861,127.27529159747064,,,True,,17.562415916472673,2.564583905041218,5,20.12699982151389,,37.54020784981549,4.898417042568326,5,42.438624892383814,,24.12362489849329,5,24.12362489849329,25.7876249961555,,14.798416988924146,4.024875117465854,5,40.586041985079646,40.586041985079646,q05,5,1.0
5,2026-02-14T13:12:27.233974,51.91016709432006,,,True,,6.018040934577584,1.3736658729612827,1,7.391706807538867,,10.596167063340545,2.517834072932601,1,13.114001136273146,,5.85116702131927,1,5.85116702131927,7.032792083919048,,18.520500045269728,1.723207999020815,1,25.553292129188776,25.553292129188776,q06,6,1.0
6,2026-02-14T13:12:27.611074,332.46233407408,,,True,,70.95387508161366,3.3117919228971004,4,74.26566700451076,,195.92858292162418,9.67745902016759,4,205.60604194179177,,18.573125125840306,4,18.573125125840306,22.97175000421703,,11.045749997720122,5.619207862764597,4,34.01750000193715,34.01750000193715,q07,7,1.0
7,2026-02-14T13:12:27.792164,151.35728986933827,,,True,,20.920041017234325,2.619749866425991,2,23.539790883660316,,64.19804086908698,8.163125021383166,2,72.36116589047015,,21.05950005352497,2,21.05950005352497,27.266832999885082,,7.130000041797757,6.119542056694627,2,34.39683304168284,34.39683304168284,q08,8,1.0
8,2026-02-14T13:12:56.882572,29025.917001068592,,,True,,41.742084082216024,1.9517079927027225,175,43.69379207491875,,28730.569457868114,6.874792044982314,175,28737.444249913096,,45.98900000564754,175,45.98900000564754,160.74308403767645,,38.0468750372529,5.650667008012533,175,198.78995907492936,198.78995907492936,q09,9,1.0
9,2026-02-14T13:12:57.171388,247.65870766714215,,,True,,41.60241689532995,7.538875099271536,20,49.14129199460149,,63.326874980702996,8.357957936823368,20,71.68483291752636,,66.16616691462696,20,66.16616691462696,54.50083292089403,,6.165582919493318,4.172707907855511,20,60.666415840387344,60.666415840387344,q10,10,1.0
10,2026-02-14T13:12:57.357749,144.98983207158744,,,True,,16.497166827321053,2.548583084717393,2,19.045749912038445,,49.95479108765721,4.976332886144519,2,54.93112397380173,,22.117000073194504,2,22.117000073194504,31.093999976292253,,17.80195813626051,4.352084128186107,2,48.89595811255276,48.89595811255276,q12,12,1.0
