execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
1,2026-02-05T12:55:06.367607,153.650582768023,,,True,,30.308583052828908,1.6344999894499779,4,31.943083042278886,,91.73533297143877,3.9882499258965254,4,95.72358289733529,,25.983916828408837,4,25.983916828408837,q01,1,1.0
2,2026-02-05T12:55:06.427036,55.65233435481787,,,True,,15.722583048045635,3.8724581245332956,10,19.59504117257893,,17.541709123179317,4.380499944090843,10,21.92220906727016,,14.135084114968777,10,14.135084114968777,q03,3,1.0
3,2026-02-05T12:55:06.601870,171.2382088880986,,,True,,49.6238328050822,2.2031250409781933,5,51.826957846060395,,100.83629214204848,2.4683750234544277,5,103.3046671655029,,16.106583876535296,5,16.106583876535296,q04,4,1.0
4,2026-02-05T12:55:06.678415,72.8896651417017,,,True,,17.00679212808609,2.0694578997790813,5,19.07625002786517,,32.614666037261486,4.479290917515755,5,37.09395695477724,,16.719458159059286,5,16.719458159059286,q05,5,1.0
5,2026-02-05T12:55:06.701129,19.164084922522306,,,True,,4.1101661045104265,1.0043338406831026,1,5.114499945193529,,8.371583884581923,2.1292089950293303,1,10.500792879611254,,3.5487920977175236,1,3.5487920977175236,q06,6,1.0
6,2026-02-05T12:55:06.949685,245.02991675399244,,,True,,17.180291935801506,2.656166907399893,4,19.8364588432014,,197.64045788906515,8.804999990388751,4,206.4454578794539,,18.748000031337142,4,18.748000031337142,q07,7,1.0
7,2026-02-05T12:55:07.072802,119.39604068174958,,,True,,21.573958918452263,2.4825409054756165,2,24.05649982392788,,67.2071659937501,7.5336669106036425,2,74.74083290435374,,20.598707953467965,2,20.598707953467965,q08,8,1.0
8,2026-02-05T12:55:33.704973,26628.315206849948,,,True,,43.71912498027086,1.8723749089986086,175,45.59149988926947,,26536.571457982063,6.354290992021561,175,26542.925748974085,,39.79795798659325,175,39.79795798659325,q09,9,1.0
9,2026-02-05T12:55:33.847313,137.28400110267103,,,True,,31.8084170576185,5.063125165179372,20,36.87154222279787,,51.281374879181385,5.6374999694526196,20,56.918874848634005,,43.49358403123915,20,43.49358403123915,q10,10,1.0
10,2026-02-05T12:55:33.913207,61.84354121796787,,,True,,14.222124824300408,1.9246661104261875,2,16.146790934726596,,28.664167039096355,4.194333218038082,2,32.85850025713444,,12.838250026106834,2,12.838250026106834,q12,12,1.0
11,2026-02-05T12:55:33.960746,43.64583408460021,,,True,,10.915708960965276,1.3602080289274454,1,12.275916989892721,,17.357500037178397,3.004833124577999,1,20.362333161756396,,11.007583932951093,1,11.007583932951093,q14,14,1.0
12,2026-02-05T12:55:34.161808,196.10233302228153,,,True,,49.866666086018085,4.804959055036306,57,54.67162514105439,,90.36174998618662,4.084124928340316,57,94.44587491452694,,46.984832966700196,57,46.984832966700196,q18,18,1.0
13,2026-02-05T12:55:34.270741,104.96962489560246,,,True,,25.89625003747642,3.6465420853346586,1,29.54279212281108,,44.268874917179346,7.665249984711409,1,51.934124901890755,,23.49270787090063,1,23.49270787090063,q19,19,1.0
14,2026-02-05T12:55:34.463864,188.6562081053853,,,True,,29.789957916364074,1.849957974627614,4,31.639915890991688,,121.83145806193352,5.309375002980232,4,127.14083306491375,,29.875459149479866,4,29.875459149479866,q01,1,1.0
