execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
1,2026-02-05T13:05:38.331909,127.85012484528124,,,True,,24.259582860395312,1.588042126968503,4,25.847624987363815,,73.43716686591506,3.6869999021291733,4,77.12416676804423,,24.878333089873195,4,24.878333089873195,q01,1,1.0
2,2026-02-05T13:05:38.381466,46.02849972434342,,,True,,12.150166789069772,3.8164579309523106,10,15.966624720022082,,14.86420794390142,3.7085001822561026,10,18.572708126157522,,11.489166878163815,10,11.489166878163815,q03,3,1.0
3,2026-02-05T13:05:38.551663,164.79145805351436,,,True,,58.404583018273115,2.6528749149292707,5,61.057457933202386,,84.06337513588369,2.8440000023692846,5,86.90737513825297,,16.826624982059002,5,16.826624982059002,q04,4,1.0
4,2026-02-05T13:05:38.616784,61.139707919210196,,,True,,13.475290965288877,1.7907500732690096,5,15.266041038557887,,26.30149992182851,4.17595892213285,5,30.477458843961358,,15.39620803669095,5,15.39620803669095,q05,5,1.0
5,2026-02-05T13:05:38.637848,17.711917869746685,,,True,,3.3344998955726624,0.9735829662531614,1,4.308082861825824,,8.202583994716406,1.9347090274095535,1,10.13729302212596,,3.266541985794902,1,3.266541985794902,q06,6,1.0
6,2026-02-05T13:05:38.848901,207.8774597030133,,,True,,14.695291873067617,4.147749859839678,4,18.843041732907295,,166.7318339459598,8.375667035579681,4,175.1075009815395,,13.926916988566518,4,13.926916988566518,q07,7,1.0
7,2026-02-05T13:05:38.944815,92.45783183723688,,,True,,15.578957973048091,2.3106250446289778,2,17.88958301767707,,52.711332915350795,7.086083060130477,2,59.79741597548127,,14.77083284407854,2,14.77083284407854,q08,8,1.0
8,2026-02-05T13:06:04.535419,25586.849834071472,,,True,,34.19620799832046,1.8131248652935028,175,36.00933286361396,,25509.354500100017,5.947042023763061,175,25515.30154212378,,35.53895908407867,175,35.53895908407867,q09,9,1.0
9,2026-02-05T13:06:04.691778,148.87962536886334,,,True,,31.15470800548792,4.974582931026816,20,36.129290936514735,,49.93079206906259,5.520125152543187,20,55.45091722160578,,57.29941721074283,20,57.29941721074283,q10,10,1.0
10,2026-02-05T13:06:04.760482,65.0160820223391,,,True,,15.18633309751749,1.9418748561292887,2,17.12820795364678,,24.270332884043455,3.9700001943856478,2,28.240333078429103,,19.647540990263224,2,19.647540990263224,q12,12,1.0
11,2026-02-05T13:06:04.807522,43.39829180389643,,,True,,10.097499936819077,1.3397498987615108,1,11.437249835580587,,14.884250005707145,2.6271669194102287,1,17.511416925117373,,14.449625043198466,1,14.449625043198466,q14,14,1.0
12,2026-02-05T13:06:04.980729,169.4769160822034,,,True,,44.28862500935793,4.451125161722302,57,48.73975017108023,,75.31916699372232,3.7180830258876085,57,79.03725001960993,,41.69991589151323,57,41.69991589151323,q18,18,1.0
13,2026-02-05T13:06:05.071384,86.9584996253252,,,True,,21.482165902853012,2.8458749875426292,1,24.32804089039564,,37.810124922543764,6.5527919214218855,1,44.36291684396565,,18.267541890963912,1,18.267541890963912,q19,19,1.0
14,2026-02-05T13:06:05.219328,144.07671033404768,,,True,,28.259709011763334,1.6727091278880835,4,29.932418139651418,,82.25254202261567,4.580500070005655,4,86.83304209262133,,27.31125010177493,4,27.31125010177493,q01,1,1.0
15,2026-02-05T13:06:05.269445,46.55291698873043,,,True,,12.694875011220574,3.145375056192279,10,15.840250067412853,,15.22133406251669,3.8319998420774937,10,19.053333904594183,,11.659333016723394,10,11.659333016723394,q03,3,1.0
16,2026-02-05T13:06:05.416523,143.43554130755365,,,True,,41.38808301649988,2.2148331627249718,5,43.60291617922485,,84.23395804129541,2.451417036354542,5,86.68537507764995,,13.14725005067885,5,13.14725005067885,q04,4,1.0
