execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
1,2026-02-04T21:42:49.042540,127.74679088033736,,,True,,24.529749993234873,1.5648328699171543,4,26.094582863152027,,73.85412487201393,3.967124968767166,4,77.82124984078109,,23.830958176404238,4,23.830958176404238,q01,1,1.0
2,2026-02-04T21:42:49.089393,43.78291615284979,,,True,,11.70120807364583,3.112207865342498,10,14.813415938988328,,13.832125114277005,4.427541047334671,10,18.259666161611676,,10.70983405224979,10,10.70983405224979,q03,3,1.0
3,2026-02-04T21:42:49.219558,127.06812378019094,,,True,,34.14725000038743,2.198374830186367,5,36.3456248305738,,76.40633289702237,2.447000006213784,5,78.85333290323615,,11.869166046380997,5,11.869166046380997,q04,4,1.0
4,2026-02-04T21:42:49.278962,56.316750356927514,,,True,,13.350084191188216,1.7955410294234753,5,15.145625220611691,,24.60124995559454,4.14183409884572,5,28.74308405444026,,12.428041081875563,5,12.428041081875563,q05,5,1.0
5,2026-02-04T21:42:49.299897,17.9345840588212,,,True,,3.269790904596448,0.9682921227067709,1,4.238083027303219,,8.393584052100778,2.0116250962018967,1,10.405209148302674,,3.291291883215308,1,3.291291883215308,q06,6,1.0
6,2026-02-04T21:42:49.363241,60.346749844029546,,,True,,13.932166853919625,2.6007499545812607,4,16.532916808500886,,24.185833055526018,7.3600830510258675,4,31.545916106551886,,12.267916928976774,4,12.267916928976774,q07,7,1.0
7,2026-02-04T21:42:49.429848,63.58974985778332,,,True,,16.87429193407297,2.529874909669161,2,19.404166843742132,,24.764749919995666,6.101957987993956,2,30.86670790798962,,13.318875106051564,2,13.318875106051564,q08,8,1.0
8,2026-02-04T21:42:49.561442,128.44412517733872,,,True,,31.451917020604014,1.793124945834279,175,33.24504196643829,,59.437750140205026,4.693916067481041,175,64.13166620768607,,31.06741700321436,175,31.06741700321436,q09,9,1.0
9,2026-02-04T21:42:49.669572,104.98662712052464,,,True,,27.060541789978743,3.8198342081159353,20,30.880375998094678,,43.53287513367832,5.6927918922156096,20,49.22566702589393,,24.88058409653604,20,24.88058409653604,q10,10,1.0
10,2026-02-04T21:42:49.722960,50.35424837842584,,,True,,11.892208131030202,1.8279161304235458,2,13.720124261453748,,21.611375035718083,4.002208122983575,2,25.61358315870166,,11.02054095827043,2,11.02054095827043,q12,12,1.0
